UserID,Question,Answer,Difficulty,Topic
33,Which Akatsuki member uses a triple-bladed scythe and a ritual circle to transfer injuries?,Hidan,Easy,Naruto
34,Which technique lets Obito warp parts of his body into another dimension and appear intangible?,Kamui,Easy,Naruto
35,What technique does Sai use to bring his ink drawings to life?,Super Beast Scroll,Medium,Naruto
36,What curse mark does the Hyuga main family use to control branch family members?,Caged Bird Curse Mark,Medium,Naruto
37,Which Sound ninja can manipulate his own bones using the Macabre Bone Pulse?,Kimimaro,Medium,Naruto
38,Which giant snake does Sasuke use to survive Deidara's final explosion?,Manda,Medium,Naruto
39,What mirror-based Ice Release technique lets Haku attack at high speed?,Demonic Mirroring Ice Crystals,Medium,Naruto
40,Which two nature transformations combine to form Haku's Ice Release?,Water and Wind,Medium,Naruto
41,Which Mangekyo Sharingan genjutsu lets Itachi distort a victim's sense of time?,Tsukuyomi,Medium,Naruto
42,Which elder toad trains Naruto in senjutsu after Jiraiya's death?,Fukasaku,Medium,Naruto
43,Who ate the chakra fruit and became the first person on Earth to wield chakra?,Kaguya Otsutsuki,Medium,Naruto
44,Which kekkei genkai lets Mei Terumi create a corrosive mist?,Boil Release,Medium,Naruto
45,Which Path of Pain uses the King of Hell to interrogate enemies and repair the other bodies?,Naraka Path,Medium,Naruto
46,Which member of Team Taka can rapidly heal people who bite her?,Karin,Medium,Naruto
47,What genjutsu uses the moon to trap the world's population in an illusion?,Infinite Tsukuyomi,Medium,Naruto
48,Which puppet craftsman created the Mother and Father puppets later used by Lady Chiyo?,Sasori,Medium,Naruto
49,Which Hidden Mist sensory ninja accompanying the Fifth Mizukage possesses a stolen Byakugan?,Ao,Medium,Naruto
50,Which Akatsuki member killed the Third Kazekage and turned him into a human puppet?,Sasori,Medium,Naruto
51,What technique automatically protects Gaara with sand before he can consciously react?,Shield of Sand,Medium,Naruto
52,Which Sound Four member uses a flute to control summoned demons and cast genjutsu?,Tayuya,Medium,Naruto
53,Which Sound Four powerhouse uses Earth Release barriers and fights Choji?,Jirobo,Medium,Naruto
54,Which sage creature teaches Kabuto to use senjutsu at Ryuchi Cave?,White Snake Sage,Medium,Naruto
55,Whose poison nearly kills Kankuro after he confronts the Akatsuki?,Sasori's poison,Medium,Naruto
56,Which chakra mode lets Naruto sense negative emotions?,Nine-Tails Chakra Mode,Medium,Naruto
57,Where do Sasuke and Itachi fight to settle their conflict?,Uchiha Hideout,Medium,Naruto
58,Which multi-armed Sound Four member fights Neji during the Sasuke Retrieval Mission?,Kidomaru,Medium,Naruto
59,Which kekkei tota used by Mu and Onoki disintegrates matter at a molecular level?,Dust Release,Medium,Naruto
60,Which Uzumaki woman became the first jinchuriki of the Nine-Tails?,Mito Uzumaki,Medium,Naruto
61,Which samurai leader presides over the Five Kage Summit in the Land of Iron?,Mifune,Medium,Naruto
62,What forbidden Sharingan technique lets Danzo rewrite injuries and death as illusions?,Izanagi,Medium,Naruto
63,Which Path of Pain absorbs ninjutsu and chakra-based attacks?,Preta Path,Medium,Naruto
64,Which sealing technique does Minato use to seal Kurama's Yin half inside himself?,Dead Demon Consuming Seal (Reaper Death Seal),Medium,Naruto
65,Which weapon in Itachi's Susanoo seals anyone it pierces in an eternal illusion?,Sword of Totsuka,Medium,Naruto
66,Which shield wielded by Itachi's Susanoo changes its nature to nullify attacks?,Yata Mirror,Medium,Naruto
67,What black rods implanted in Pain's bodies transmit Nagato's chakra?,Black receivers,Medium,Naruto
68,Which human puppet lets Sasori use the Iron Sand technique?,Third Kazekage puppet,Medium,Naruto
69,Which teleportation technique was created by Tobirama and later mastered by Minato?,Flying Raijin Jutsu,Medium,Naruto
70,What barrier traps the Third Hokage with Orochimaru during the invasion of the Hidden Leaf?,Four Violet Flames Formation,Hard,Naruto
71,What sealing technique does Akatsuki use to extract Tailed Beasts into the Demonic Statue?,Sealing Technique: Phantom Dragons Nine Consuming Seals,Hard,Naruto
72,Which genjutsu was stored in the crow Itachi placed inside Naruto?,Kotoamatsukami,Hard,Naruto
73,Which technique creates Deidara's microscopic clay bombs that attack at the cellular level?,C4 Karura,Hard,Naruto
74,Which seal did Minato use to lock Kurama's Yang half inside Naruto?,Eight Trigrams Sealing Style,Hard,Naruto
75,Which Tailed Beast was sealed inside Yugito Nii of the Hidden Cloud Village?,Matatabi,Hard,Naruto
76,Which hidden snake realm is home to the White Snake Sage?,Ryuchi Cave,Hard,Naruto
77,"In an anime-only flashback, which Uchiha woman uses Izanami to stop Naka Uchiha's abuse of Izanagi?",Naori Uchiha,Hard,Naruto
78,Which two shinobi accompany the Fourth Raikage as bodyguards at the Five Kage Summit?,Darui and C,Hard,Naruto
79,Who owned Samehada before Kisame killed him and took the sword?,Fuguki Suikazan,Hard,Naruto
80,Which space-time technique lets Kaguya replace the surrounding world with one of her dimensions?,Amenominaka,Hard,Naruto
81,Which of the Eight Inner Gates must be opened to use Morning Peacock?,Sixth Gate (Gate of View),Hard,Naruto
82,What technique creates the moving water-prison dome Kisame uses after fusing with Samehada?,Water Prison Shark Dance Technique,Hard,Naruto
83,Which Aburame clan member infects Tobi's arm with nano-sized poisonous insects?,Torune Aburame,Hard,Naruto
84,Which Six-Tails jinchuriki became a missing-nin from the Hidden Mist before being captured by Pain?,Utakata,Hard,Naruto
85,Which two elder toads combine their voices to trap several bodies of Pain in a genjutsu?,Fukasaku and Shima,Hard,Naruto
86,Which Four-Tails jinchuriki is captured by Kisame before the Fourth Great Ninja War?,Roshi,Hard,Naruto
87,What is the name of Ash Ketchum's first Pokémon in the anime?,Pikachu,Easy,Pokemon
88,Which device do Trainers use to record and view data on Pokémon?,Pokédex,Easy,Pokemon
89,What are the three traditional starter types?,"Grass, Fire, and Water",Easy,Pokemon
90,"Which villainous team uses the motto that begins ""Prepare for trouble, and make it double""?",Team Rocket,Easy,Pokemon
91,"As of 2026, which Pokémon has the most possible evolutions?",Eevee,Easy,Pokemon
92,What item is used to catch wild Pokémon?,Poké Ball,Easy,Pokemon
93,What are Bulbasaur's two types?,Grass and Poison,Easy,Pokemon
94,Which Kanto professor gives new Trainers their first Pokémon?,Professor Oak,Easy,Pokemon
95,Which pink Pokémon is famous for singing people to sleep?,Jigglypuff,Easy,Pokemon
96,Which region is the setting of the first-generation Pokémon games?,Kanto,Easy,Pokemon
97,"Which large, sleeping Pokémon often blocks paths in the games?",Snorlax,Easy,Pokemon
98,Which item evolves Pikachu into Raichu?,Thunder Stone,Easy,Pokemon
99,Which famously weak Water-type Pokémon evolves into Gyarados?,Magikarp,Easy,Pokemon
100,What is Ash Ketchum's hometown?,Pallet Town,Easy,Pokemon
101,Which talking Pokémon travels with Jessie and James?,Meowth,Easy,Pokemon
102,Which type is immune to Electric-type attacks?,Ground,Easy,Pokemon
103,Which Cerulean City Gym Leader travels with Ash?,Misty,Easy,Pokemon
104,Which Legendary Pokémon was created from Mew's genetic material?,Mewtwo,Easy,Pokemon
105,What do Trainers traditionally collect eight of before entering a Pokémon League?,Gym Badges,Easy,Pokemon
106,Which Pokémon is famous for transforming into its opponent?,Ditto,Easy,Pokemon
107,Which Poké Ball catches any wild Pokémon without fail?,Master Ball,Easy,Pokemon
108,Which Rock-type Pewter City Gym Leader joins Ash on his early journeys?,Brock,Easy,Pokemon
109,"In most core-series regions, what group of four Trainers must be defeated before the Champion?",The Elite Four,Easy,Pokemon
110,Which Pokémon carries a plant bulb on its back from birth?,Bulbasaur,Easy,Pokemon
111,"In the anime, what name is shared by the nurses who heal Pokémon at Pokémon Centers?",Nurse Joy,Easy,Pokemon
112,Which Pokémon is the mascot of Pokémon Yellow?,Pikachu,Easy,Pokemon
113,What colour is the shiny Gyarados encountered in the Generation 2 games?,Red,Easy,Pokemon
114,Which Fire/Flying-type Pokémon is Charmander's final evolution?,Charizard,Easy,Pokemon
115,Which turtle-like Pokémon is Kanto's Water-type starter?,Squirtle,Easy,Pokemon
116,"In the anime, what name is shared by the police officers?",Officer Jenny,Easy,Pokemon
117,What is the official English name of Red's rival from the original Pokémon games?,Blue,Easy,Pokemon
118,Which Ghost/Poison-type Pokémon is Gastly's final evolution?,Gengar,Easy,Pokemon
119,What form of energy do Electric-type Pokémon use to attack?,Electricity,Easy,Pokemon
120,Which of Kanto's Legendary Birds represents the Ice type?,Articuno,Easy,Pokemon
121,Which generation introduced the Johto region?,Generation 2,Easy,Pokemon
122,Which held item prevents a Pokémon from evolving?,Everstone,Easy,Pokemon
123,"According to Pokémon lore, what does Slowpoke become when a Shellder bites its tail?",Slowbro,Easy,Pokemon
124,Which weather condition strengthens Water-type moves and weakens Fire-type moves?,Rain,Easy,Pokemon
125,Which Poké Ball becomes more effective as more turns pass?,Timer Ball,Easy,Pokemon
126,Against which two types are Ghost-type attacks super effective?,Ghost and Psychic,Medium,Pokemon
127,"Which Kanto starter is classified by the Pokédex as the ""Seed Pokémon""?",Bulbasaur,Medium,Pokemon
128,What does the pattern on Arbok's hood resemble?,A face,Medium,Pokemon
129,Which Johto Gym Leader is infamous for her powerful Miltank?,Whitney,Medium,Pokemon
130,Which battle mechanic was introduced in the Kalos games during Generation 6?,Mega Evolution,Medium,Pokemon
131,Which Dark-type Eevee evolution was introduced in Generation 2?,Umbreon,Medium,Pokemon
132,Which Hoenn villainous team wants to expand the landmass?,Team Magma,Medium,Pokemon
133,"Which Pokémon is known as the ""Alpha Pokémon"" and is said to have shaped the universe?",Arceus,Medium,Pokemon
134,Which item must Poliwhirl hold while being traded to evolve into Politoed?,King's Rock,Medium,Pokemon
135,Which special attacks introduced in Pokémon Sun and Moon require crystals to use?,Z-Moves,Medium,Pokemon
136,Which Pokémon is number 151 in the National Pokédex?,Mew,Medium,Pokemon
137,What was the first Pokémon Ash caught in the wild?,Caterpie,Medium,Pokemon
138,What are Rayquaza's two types?,Dragon and Flying,Medium,Pokemon
139,Which Pokémon has a fierce rivalry with Seviper?,Zangoose,Medium,Pokemon
140,Which new type was introduced in Generation 6?,Fairy,Medium,Pokemon
141,Which Sinnoh Champion is known for her powerful Garchomp?,Cynthia,Medium,Pokemon
142,"In Pokémon Red and Blue, which item lets you obtain the Bicycle without paying 1,000,000 Pokédollars?",Bike Voucher,Medium,Pokemon
143,Which generation introduced regional variants with the Alolan forms?,Generation 7,Medium,Pokemon
144,Which Galar battle phenomenon causes Pokémon to grow to enormous sizes?,Dynamax,Medium,Pokemon
145,Which Hoenn Gym Leader uses Normal-type Pokémon and is the player's father?,Norman,Medium,Pokemon
146,Which fossil must be revived at the Cinnabar Island Lab to obtain Omanyte?,Helix Fossil,Medium,Pokemon
147,"Which Mythical Grass/Psychic-type Pokémon is classified as the ""Time Travel Pokémon""?",Celebi,Medium,Pokemon
148,What is the Paldea battle mechanic that crystallises Pokémon and can change their type?,Terastallization,Medium,Pokemon
149,Which Team Galactic leader wants to create a world without spirit?,Cyrus,Medium,Pokemon
150,Which Pokémon evolves into Lucario with high friendship during the day?,Riolu,Medium,Pokemon
151,Which Steel-type move introduced in Generation 3 can raise the user's Attack and is closely associated with Metagross?,Meteor Mash,Medium,Pokemon
152,Who is the Pokémon Professor of the Unova region?,Professor Juniper,Medium,Pokemon
153,"What group consists of Cobalion, Terrakion, and Virizion, and sometimes includes Keldeo?",The Swords of Justice,Medium,Pokemon
154,Which Pokémon can appear in an empty party slot when Nincada evolves?,Shedinja,Medium,Pokemon
155,Which member of the original Kanto Elite Four specialises in Dragon-type Pokémon?,Lance,Medium,Pokemon
156,Which condition does the move Toxic inflict?,Badly poisoned,Medium,Pokemon
157,Which Pokémon carries a leek and was notoriously rare in the early games?,Farfetch'd,Medium,Pokemon
158,Which villainous team causes trouble in the Alola region?,Team Skull,Medium,Pokemon
159,Which Pokémon is the mascot of Pokémon Shield?,Zamazenta,Medium,Pokemon
160,Which Berry cures paralysis?,Cheri Berry,Medium,Pokemon
161,"As of 2026, which Pokémon has the highest base HP stat?",Blissey,Medium,Pokemon
162,"As of 2026, which Pokémon has the signature Ability Wonder Guard?",Shedinja,Medium,Pokemon
163,Which Pokémon's signature move is Chatter?,Chatot,Medium,Pokemon
164,What is the base-stat total of a standard pseudo-legendary Pokémon such as Dragonite or Tyranitar?,600,Medium,Pokemon
165,Which Generation 6 Pokémon is Poison/Dragon-type?,Dragalge,Medium,Pokemon
166,"In Pokémon Ranger, which device is used to temporarily capture and befriend Pokémon?",Capture Styler,Medium,Pokemon
167,"In Generations 2-7, which Normal-type move became stronger as the user's friendship increased?",Return,Medium,Pokemon
168,"Which rare virus, introduced in Generation 2, doubles the EVs a Pokémon earns in games where it is active?",Pokérus,Medium,Pokemon
169,What does STAB stand for in Pokémon battles?,Same-Type Attack Bonus,Medium,Pokemon
170,"In Generations 1-6, which restorative item healed exactly 50 HP?",Super Potion,Hard,Pokemon
171,"From Generation 6 onward, what is the per-stat EV cap in games that use EVs?",252,Hard,Pokemon
172,Which glitch Pokémon is linked to corrupted Hall of Fame data and the sixth-slot item duplication glitch in Pokémon Red and Blue?,MissingNo.,Hard,Pokemon
173,"In the original Pokémon Mystery Dungeon: Red Rescue Team, which item is required to recruit Kecleon?",Friend Bow,Hard,Pokemon
174,Which Nature raises Attack and lowers Special Attack?,Adamant,Hard,Pokemon
175,"In Pokémon Emerald, which facility is led by Factory Head Noland?",Battle Factory,Hard,Pokemon
176,Which item must Porygon2 hold while being traded to evolve into Porygon-Z?,Dubious Disc,Hard,Pokemon
177,"Which Pokémon has a Pokédex entry claiming its body temperature is roughly 18,000 degrees Fahrenheit?",Magcargo,Hard,Pokemon
178,What is the name of the Pokémon Colosseum protagonist who begins with Espeon and Umbreon?,Wes,Hard,Pokemon
179,Which Ability doubles Attack and can be found in the Azurill and Bunnelby evolutionary lines?,Huge Power,Hard,Pokemon
180,Which weather condition is created by the Ability Desolate Land?,Extremely harsh sunlight,Hard,Pokemon
181,Which Berry halves the damage from a super-effective Ground-type attack?,Shuca Berry,Hard,Pokemon
182,Which two Unown forms were absent from Gold and Silver but appear in the Tanoby Chambers in FireRed and LeafGreen?,? and !,Hard,Pokemon
183,Which Ribbon is awarded after defeating Red at Mt. Silver in Pokémon HeartGold and SoulSilver?,Legend Ribbon,Hard,Pokemon
184,Which Pokémon has a base-stat total of 236 and is the only evolved species with a lower total than its pre-evolution?,Shedinja,Hard,Pokemon
185,"In the Pokémon Adventures manga, what is the nickname of Red's Poliwrath?",Poli,Hard,Pokemon
186,What message appears when a Shadow Pokémon's Heart Gauge is fully depleted in Pokémon Colosseum and XD?,The door to its heart is about to open,Hard,Pokemon
187,"In Generations 4-8, which incense must Snorlax hold while breeding to produce a Munchlax Egg?",Full Incense,Hard,Pokemon
188,Which item must Clamperl hold while being traded to evolve into Gorebyss?,Deep Sea Scale,Hard,Pokemon
189,"In the Generation 4 Sinnoh games, which Mythical Pokémon could be reached using the Member Card event item?",Darkrai,Hard,Pokemon
190,What is the maximum number of consecutive turns Rollout can continue without missing or being interrupted?,5,Hard,Pokemon
191,"As of 2026, which two Pokémon form the franchise's only Ice/Bug evolutionary line?",Snom and Frosmoth,Hard,Pokemon
192,What toy does Eleven make hover in Mike's basement to prove she has powers?,A Millennium Falcon toy,Easy,Stranger Things
193,What wall setup does Joyce build so Will can spell messages from the Upside Down?,An alphabet marked with Christmas lights,Easy,Stranger Things
194,What message does Will spell to Joyce after she asks where he is?,Right here,Easy,Stranger Things
195,What frozen breakfast food does Eleven famously steal and continue eating throughout the series?,Eggo waffles,Easy,Stranger Things
196,How does Eleven humiliate Troy after he mocks Will at the school memorial assembly?,She makes him wet himself,Easy,Stranger Things
197,What does Eleven do to the Hawkins Lab van blocking the boys on their bikes?,She flips it over them,Easy,Stranger Things
198,What do the kids build at Hawkins Middle School so Eleven can search for Will in the void?,A makeshift sensory deprivation tank,Easy,Stranger Things
199,What nickname does Dustin give the creature he finds in his trash can?,Dart,Easy,Stranger Things
200,What family pet does Dart eat in the Henderson house?,Mews,Easy,Stranger Things
201,What product does Steve say is essential to his hair routine?,Farrah Fawcett spray,Easy,Stranger Things
202,What school dance do Eleven and Mike attend at the end of Season 2?,The Snow Ball,Easy,Stranger Things
203,What rule does Hopper make Mike and Eleven follow when they are together in the cabin?,Keep the door open three inches,Easy,Stranger Things
204,What hilltop radio tower does Dustin use to contact Suzie in Season 3?,Cerebro,Easy,Stranger Things
205,What Slurpee flavor does Alexei insist on after Hopper brings the wrong one?,Cherry,Easy,Stranger Things
206,What household clue makes Joyce suspect the town's magnets are malfunctioning?,Her refrigerator magnets fall off,Easy,Stranger Things
207,What does Eleven use to injure Angela at Rink-O-Mania?,A roller skate,Easy,Stranger Things
208,What pizza business does Argyle deliver for in California?,Surfer Boy Pizza,Easy,Stranger Things
209,What does Max read at Billy's grave before Vecna attacks her mind?,A letter,Easy,Stranger Things
210,What body of water leads Steve to the gate later nicknamed Watergate?,Lover's Lake,Easy,Stranger Things
211,What does Steve bite while fighting creatures below Lover's Lake?,A Demobat,Easy,Stranger Things
212,What arrives from Russia before Joyce discovers Hopper may still be alive?,A Russian nesting doll,Easy,Stranger Things
213,What hidden message does Joyce find inside the Russian doll?,Hop is alive,Easy,Stranger Things
214,What vehicle does Argyle drive throughout the California rescue trip?,A Surfer Boy Pizza van,Easy,Stranger Things
215,What do Will's strange drawings form when Bob spreads them across the Byers house?,A map of Hawkins,Easy,Stranger Things
216,What do Joyce and the others use to force the Mind Flayer out of Will?,Heat,Easy,Stranger Things
217,What do Nancy and Jonathan use to lure the Demogorgon into the Byers house trap?,Their blood,Easy,Stranger Things
218,What happens to Bob after he restores power and helps the group escape Hawkins Lab?,Demodogs kill him,Easy,Stranger Things
219,What meal does Benny Hammond make for Eleven after catching her stealing food?,A burger and fries,Easy,Stranger Things
220,What creature do the Soviet guards force Hopper and the other prisoners to fight?,A Demogorgon,Easy,Stranger Things
221,What candy bar does Dustin feed Dart shortly after finding him?,3 Musketeers,Medium,Stranger Things
222,What carnival prize does Alexei win shortly before he is killed?,A Woody Woodpecker plush,Medium,Stranger Things
223,What movie are the kids trying to watch when they sneak into the Starcourt cinema?,Day of the Dead,Medium,Stranger Things
224,What Starcourt store do Eleven and Max visit while trying on new outfits?,The Gap,Medium,Stranger Things
225,What phrase does Will tap out in Morse code while briefly breaking through the Mind Flayer's control?,Close gate,Medium,Stranger Things
226,Where does Dustin trap Dart after realizing the creature is dangerous?,His storm cellar,Medium,Stranger Things
227,What does Max use to knock Billy unconscious after he attacks Steve?,A sedative-filled syringe,Medium,Stranger Things
228,What analogy does Mr. Clarke use to explain how another dimension could sit beside the normal world?,A flea and an acrobat,Medium,Stranger Things
229,What does Hopper pull out of the fake Will Byers corpse at the morgue?,Cotton stuffing,Medium,Stranger Things
230,What condition does Dustin say affects his teeth and collarbones?,Cleidocranial dysplasia,Medium,Stranger Things
231,What arcade game does Max dominate at the Palace Arcade?,Dig Dug,Medium,Stranger Things
232,What scoreboard alias marks Max's high score before the boys know who she is?,MADMAX,Medium,Stranger Things
233,What does Dustin initially think Dart is?,A pollywog,Medium,Stranger Things
234,What Dungeons and Dragons term does Mike use for Will seeing the Upside Down while awake?,True Sight,Medium,Stranger Things
235,What does Eleven find in Terry Ives' files that helps her identify Kali?,A newspaper clipping with Kali's photo,Medium,Stranger Things
236,What power does Kali use to hide her gang from the police?,Illusions,Medium,Stranger Things
237,What machine do the Russians operate beneath Starcourt Mall to reopen a gate?,The Key,Medium,Stranger Things
238,What mall sound makes Steve realise the Russian transmission was recorded at Starcourt?,Music from a mechanical horse ride,Medium,Stranger Things
239,What payment does Erica demand before crawling through the Scoops Ahoy vent?,Free ice cream for life,Medium,Stranger Things
240,What hidden feature of the Scoops Ahoy storage room traps the group beneath the mall?,It is an elevator,Medium,Stranger Things
241,What insulting nickname does Alexei use for Hopper after Murray translates it?,Fat Rambo,Medium,Stranger Things
242,Where do Hopper and Joyce take Alexei to find someone who can translate for him?,Murray Bauman's house,Medium,Stranger Things
243,What memory does Eleven use to reach the real Billy during the Starcourt battle?,Billy's mother at the beach,Medium,Stranger Things
244,What does the Mind Flayer's flesh monster build its body from?,The melted bodies of the Flayed,Medium,Stranger Things
245,What newspaper do Nancy and Jonathan work for during their Season 3 internship?,The Hawkins Post,Medium,Stranger Things
246,What disguise do Nancy and Robin use to interview Victor Creel at Pennhurst?,Psychology students from Notre Dame,Medium,Stranger Things
247,What nickname does the group give the gate beneath Lover's Lake?,Watergate,Medium,Stranger Things
248,On what date does Will Byers disappear?,06-Nov-83,Medium,Stranger Things
249,What problem in the pumpkin fields first pulls Hopper into the Season 2 tunnel investigation?,Rotting pumpkins across several farms,Medium,Stranger Things
250,What scientific constant does Dustin need from Suzie to open the Russian vault?,Planck's constant,Medium,Stranger Things
251,What drug are Steve and Robin given while being interrogated in the Russian base?,Truth serum,Medium,Stranger Things
252,What does Henry do after Eleven removes the Soteria implant from his neck?,He massacres the Hawkins Lab children and staff,Medium,Stranger Things
253,Why are Nancy's guns missing from her bedroom in the Upside Down?,"The Upside Down is frozen on November 6, 1983",Medium,Stranger Things
254,What object does the Hawkins group use to spell messages through light from the Wheeler house?,A Lite-Brite,Medium,Stranger Things
255,How much salt does Mr. Clarke say the school sensory tank needs?,"1,500 pounds",Hard,Stranger Things
256,What Dungeons and Dragons realm do the boys compare the Upside Down to?,The Vale of Shadows,Hard,Stranger Things
257,What password grants entry into Castle Byers?,Radagast,Hard,Stranger Things
258,What does Hopper find hidden inside a light fixture after becoming suspicious of surveillance?,A microphone,Hard,Stranger Things
259,What false identity does Agent Connie Frazier use before killing Benny Hammond?,A social services worker,Hard,Stranger Things
260,What does Lonnie Byers hope to gain from Will's supposed death?,Settlement money from the quarry,Hard,Stranger Things
261,What explanation does Dr. Owens initially give Joyce for Will's visions near the anniversary of his disappearance?,The anniversary effect,Hard,Stranger Things
262,What repeated phrase links Terry Ives' memories to Eleven's past?,Breathe. Sunflower. Rainbow. Three to the right. Four to the left. Four-fifty,Hard,Stranger Things
263,What does Kali make Axel see after he threatens Eleven?,Spiders,Hard,Stranger Things
264,Why does Eleven refuse to kill Ray Carroll?,She discovers that he has children,Hard,Stranger Things
265,What does Murray say Nancy and Jonathan must do to their Hawkins Lab story before the public will believe it?,Water it down,Hard,Stranger Things
266,What exact Planck's constant number does Suzie give Dustin over Cerebro?,6.62607004,Hard,Stranger Things
267,"What store does the phrase ""tread lightly"" point to in the decoded Russian message?",Kaufman Shoes,Hard,Stranger Things
268,What company is represented by the silver cat in the decoded Russian message?,Lynx Transportation,Hard,Stranger Things
269,"What does ""a trip to China"" indicate in the decoded Russian message?",The Imperial Panda restaurant,Hard,Stranger Things
270,What device in Henry's neck suppresses and tracks his powers at Hawkins Lab?,Soteria,Hard,Stranger Things
271,What is the main tool used to mine stone and ores?,Pickaxe,Easy,Minecraft
272,Which hostile mob hisses just before exploding?,Creeper,Easy,Minecraft
273,What block forms when flowing water touches a lava source block?,Obsidian,Easy,Minecraft
274,How many wooden planks are needed to craft a crafting table?,Four,Easy,Minecraft
275,Which item is used to tame a wild wolf?,Bone,Easy,Minecraft
276,Which dimension is home to the Ender Dragon?,The End,Easy,Minecraft
277,Which common tool is used to light a Nether portal?,Flint and Steel,Easy,Minecraft
278,What block do you get by smelting sand?,Glass,Easy,Minecraft
279,Which farm animal can be sheared for wool?,Sheep,Easy,Minecraft
280,Which vegetable breeds pigs and is used to craft a carrot on a stick?,Carrot,Easy,Minecraft
281,Which crop grows beside water and is used to make paper?,Sugar Cane,Easy,Minecraft
282,Which iron item is used to craft both a compass and shears?,Iron Ingot,Easy,Minecraft
283,What item is dropped by chickens and used to craft arrows?,Feather,Easy,Minecraft
284,Which tall dark mob teleports and can be angered by eye contact?,Enderman,Easy,Minecraft
285,What can players sleep in to set their spawn point in the Overworld?,Any colored bed,Easy,Minecraft
286,Which hostile mob shoots arrows and burns in daylight?,Skeleton,Easy,Minecraft
287,Which tool lets you collect wool from a sheep without hurting it?,Shears,Easy,Minecraft
288,What is the minimum number of obsidian blocks needed for a working Nether portal?,Ten,Easy,Minecraft
289,Which gem is used to craft an enchanting table?,Diamond,Easy,Minecraft
290,What cow drop is needed to craft books?,Leather,Easy,Minecraft
291,What can be placed on top of two snow blocks to build a Snow Golem?,A carved pumpkin or jack o'lantern,Easy,Minecraft
292,Which commonly mined fuel is used to craft torches?,Coal,Easy,Minecraft
293,Which underwater undead mob can throw tridents?,Drowned,Easy,Minecraft
294,Which ore requires an iron pickaxe or better to drop redstone dust?,Redstone Ore,Easy,Minecraft
295,Which fiery Nether mob flies and shoots fireballs?,Blaze,Easy,Minecraft
296,Which fruit randomly teleports the player when eaten?,Chorus Fruit,Easy,Minecraft
